1;1;2;10;0;0,2;0;0;2;0
2;6;2;10;0;0;0;0;2;1
3;6;2;10;0;0;1;1;3;1
4;6;2;10;0;0;2;2;1;1
5;6;2;10;0;0;3;3;1;0
6;6;2;10;0;0;4;3;1;1
10;6;2;10;0;0;5;4;1;1
14;6;9;30;1;0,2;0;0;1;1
15;6;9;30;1;0,2;1;1;2;1
16;6;9;30;1;0,2;2;2;3;1
17;6;2;10;0;0;6;5;1;0
18;6;9;30;1;0,2;3;3;2;1
19;6;11;45;0;0;0;0;3;0
1024;7;4;45;0,5;0,2;0;0;1;0
1027;7;16;30;1;0,55;0;0;2;1
1028;7;18;5;1;1;0;0;1;1
1029;7;18;5;1;1;1;1;2;1
1030;7;18;5;1;1;2;2;3;0
1032;7;16;30;1;1;1;1;2;1
1033;7;16;30;1;1;2;2;3;1
1034;7;16;30;1;1;3;3;1;1
1035;7;16;30;1;1;4;4;3;1
1036;7;16;30;1;1;5;5;2;1
1037;7;16;30;1;1;6;6;1;1
